frequency_rank,character,pinyin
6981,昨,zuo
6982,痰,tan
6983,师父,shi fu
6984,勾,gou
6985,深厚,shen hou
6986,承办,cheng ban
6987,春秋,chun qiu
6988,国人,guo ren
6989,峰会,feng hui
6990,日后,ri hou
6991,围巾,wei jin
6992,出动,chu dong
6993,惠,hui
6994,概括,gai kuo
6995,酸奶,suan nai
6996,樣,yang
6997,蒙古,meng gu
6998,子弹,zi dan
6999,赏,shang
7000,竞技,jing ji
7001,责任感,ze ren gan
7002,御,yu
7003,税务,shui wu
7004,镜子,jing zi
7005,文化大革命,wen hua da ge ming
7006,不利于,bu li yu
7007,夺取,duo qu
7008,传真,chuan zhen
7009,逢,feng
7010,生育,sheng yu
7011,中路,zhong lu
7012,骗子,pian zi
7013,小孩子,xiao hai zi
7014,反馈,fan kui
7015,面部,mian bu
7016,先锋,xian feng
7017,军官,jun guan
7018,章程,zhang cheng
7019,阳台,yang tai
7020,慧,hui
7021,舱,cang
7022,注意力,zhu yi li
7023,齐全,qi quan
7024,拯救,zheng jiu
7025,高价,gao jia
7026,队员们,dui yuan men
7027,人选,ren xuan
7028,傍晚,bang wan
7029,调解,tiao jie
7030,开创,kai chuang
7031,降到,jiang dao
7032,主编,zhu bian
7033,极度,ji du
7034,間,jian
7035,武警,wu jing
7036,疲惫,pi bei
7037,民事,min shi
7038,西湖,xi hu
7039,转会,zhuan hui
7040,扛,kang
7041,兔子,tu zi
7042,书籍,shu ji
7043,缺口,que kou
7044,参照,can zhao
7045,点点头,dian dian tou
7046,接种,jie zhong
7047,被窝,bei wo
7048,多谢,duo xie
7049,时段,shi duan
7050,萎缩,wei suo
7051,内阁,nei ge
7052,老人家,lao ren jia
7053,古巴,gu ba
7054,全局,quan ju
7055,开办,kai ban
7056,钻石,zuan shi
7057,河南省,he nan sheng
7058,荷,he
7059,着重,zhuo zhong
7060,好笑,hao xiao
7061,理智,li zhi
7062,必备,bi bei
7063,预警,yu jing
7064,六月,liu yue
7065,北京奥运会,bei jing ao yun hui
7066,崇拜,chong bai
7067,翔,xiang
7068,秘,mi
7069,宣言,xuan yan
7070,焦虑,jiao lv
7071,主观,zhu guan
7072,国资委,guo zi wei
7073,适用于,shi yong yu
7074,擅自,shan zi
7075,冷漠,leng mo
7076,台上,tai shang
7077,再生,zai sheng
7078,流浪,liu lang
7079,化名,hua ming
7080,运动会,yun dong hui
7081,王先生,wang xian sheng
7082,签字,qian zi
7083,敷,fu
7084,碰撞,peng zhuang
7085,聽,ting
7086,报复,bao fu
7087,向往,xiang wang
7088,前线,qian xian
7089,地步,di bu
7090,资深,zi shen
7091,包包,bao bao
7092,癌症,ai zheng
7093,首要,shou yao
7094,边境,bian jing
7095,铅,qian
7096,标准化,biao zhun hua
7097,传达,chuan da
7098,标签,biao qian
7099,合肥,he fei
7100,其后,qi hou
7101,车厢,che xiang
7102,事业单位,shi ye dan wei
7103,窗外,chuang wai
7104,采集,cai ji
7105,面貌,mian mao
7106,民航,min hang
7107,往年,wang nian
7108,经纪人,jing ji ren
7109,大爷,da ye
7110,责任制,ze ren zhi
7111,角膜,jiao mo
7112,幻,huan
7113,做饭,zuo fan
7114,何况,he kuang
7115,颇为,po wei
7116,额度,e du
7117,等候,deng hou
7118,稳步,wen bu
7119,两地,liang di
7120,九段,jiu duan
7121,取胜,qu sheng
7122,超标,chao biao
7123,舍得,she de
7124,上月,shang yue
7125,船票,chuan piao
7126,好莱坞,hao lai wu
7127,荒,huang
7128,吻合,wen he
7129,英格兰,ying ge lan
7130,天上,tian shang
7131,刑,xing
7132,曹,cao
7133,版权,ban quan
7134,支柱,zhi zhu
7135,赞同,zan tong
7136,衬衫,chen shan
7137,主权,zhu quan
7138,驰,chi
7139,二者,er zhe
7140,预定,yu ding
7141,欣,xin
7142,恤,xu
7143,不容,bu rong
7144,假设,jia she
7145,操作系统,cao zuo xi tong
7146,真人,zhen ren
7147,不在乎,bu zai hu
7148,燃油,ran you
7149,搏,bo
7150,师兄,shi xiong
7151,燃,ran
7152,兰州,lan zhou
7153,一瞬间,yi shun jian
7154,骚,sao
7155,战绩,zhan ji
7156,用途,yong tu
7157,关税,guan shui
7158,射击,she ji
7159,说说,shuo shuo
7160,商城,shang cheng
7161,热心,re xin
7162,根本上,gen ben shang
7163,胸部,xiong bu
7164,报刊,bao kan
7165,户外,hu wai
7166,新兴,xin xing
7167,梨,li
7168,人权,ren quan
7169,复古,fu gu
7170,百货,bai huo
7171,制裁,zhi cai
7172,酒精,jiu jing
7173,南非,nan fei
7174,饺子,jiao zi
7175,步入,bu ru
7176,有期徒刑,you qi tu xing
7177,浩,hao
7178,山上,shan shang
7179,指引,zhi yin
7180,新春,xin chun
7181,毕,bi
7182,陈述,chen shu
7183,拖欠,tuo qian
7184,扎实,zha shi
7185,时常,shi chang
7186,宽松,kuan song
7187,热量,re liang
7188,流入,liu ru
7189,吞,tun
7190,地段,di duan
7191,激,ji
7192,市政,shi zheng
7193,商报,shang bao
7194,配件,pei jian
7195,當,dang
7196,各界,ge jie
7197,一等奖,yi deng jiang
7198,行李,xing li
7199,经纪,jing ji
7200,非典,fei dian
7201,交谈,jiao tan
7202,桓,huan
7203,热水,re shui
7204,灾,zai
7205,票房,piao fang
7206,精灵,jing ling
7207,伪,wei
7208,温泉,wen quan
7209,倾,qing
7210,头疼,tou teng
7211,诈骗,zha pian
7212,领土,ling tu
7213,被告人,bei gao ren
7214,打球,da qiu
7215,口腔,kou qiang
7216,佩,pei
7217,洗净,xi jing
7218,妥善,tuo shan
7219,保佑,bao you
7220,就是说,jiu shi shuo
7221,做成,zuo cheng
7222,听听,ting ting
7223,草莓,cao mei
7224,厨,chu
7225,择,ze
7226,署,shu
7227,狂欢,kuang huan
7228,行列,hang lie
7229,大局,da ju
7230,怪物,guai wu
7231,乌克兰,wu ke lan
7232,桌面,zhuo mian
7233,讓,rang
7234,几千,ji qian
7235,集合,ji he
7236,合计,he ji
7237,成员国,cheng yuan guo
7238,退役,tui yi
7239,下达,xia da
7240,小将,xiao jiang
7241,清华,qing hua
7242,膏,gao
7243,地处,di chu
7244,名将,ming jiang
7245,夜里,ye li
7246,香水,xiang shui
7247,快要,kuai yao
7248,小学生,xiao xue sheng
7249,谓,wei
7250,办案,ban an
7251,民办,min ban
7252,超声,chao sheng
7253,包裹,bao guo
7254,仗,zhang
7255,景象,jing xiang
7256,朱广沪,zhu guang hu
7257,快快,kuai kuai
7258,嗷嗷,ao ao
7259,妃,fei
7260,必定,bi ding
7261,东南亚,dong nan ya
7262,无锡,wu xi
7263,建筑物,jian zhu wu
7264,疑惑,yi huo
7265,良性,liang xing
7266,恕,shu
7267,迎战,ying zhan
7268,美术,mei shu
7269,刻意,ke yi
7270,压抑,ya yi
7271,较量,jiao liang
7272,留言,liu yan
7273,降至,jiang zhi
7274,张某,zhang mou
7275,希腊,xi la
7276,诸如,zhu ru
7277,传闻,chuan wen
7278,乃是,nai shi
7279,研究员,yan jiu yuan
7280,恐,kong
7281,映,ying
7282,协定,xie ding
7283,最不,zui bu
7284,东南,dong nan
7285,情人节,qing ren jie
7286,开采,kai cai
7287,神色,shen se
7288,轰,hong
7289,依次,yi ci
7290,大腿,da tui
7291,罩,zhao
7292,徒,tu
7293,说好,shuo hao
7294,国情,guo qing
7295,流传,liu chuan
7296,病房,bing fang
7297,招呼,zhao hu
7298,疗法,liao fa
7299,忠诚,zhong cheng
7300,猴,hou
7301,过剩,guo sheng
7302,隔壁,ge bi
7303,混凝土,hun ning tu
7304,修正,xiu zheng
7305,厚度,hou du
7306,媳妇,xi fu
7307,畜,chu
7308,九月,jiu yue
7309,启,qi
7310,残忍,can ren
7311,反革命,fan ge ming
7312,七月,qi yue
7313,弧,hu
7314,乡镇企业,xiang zhen qi ye
7315,填写,tian xie
7316,披,pi
7317,出自,chu zi
7318,磷,lin
7319,脏,zang
7320,中新社,zhong xin she
7321,旗帜,qi zhi
7322,下旬,xia xun
7323,苦笑,ku xiao
7324,多方,duo fang
7325,遗址,yi zhi
7326,电台,dian tai
7327,摩羯,mo jie
7328,送来,song lai
7329,录音,lu yin
7330,急需,ji xu
7331,法治,fa zhi
7332,前几天,qian ji tian
7333,丙,bing
7334,特约,te yue
7335,典,dian
7336,减弱,jian ruo
7337,光辉,guang hui
7338,入学,ru xue
7339,干涉,gan she
7340,往事,wang shi
7341,遗忘,yi wang
7342,递,di
7343,目录,mu lu
7344,民生,min sheng
7345,丢失,diu shi
7346,摹,mo
7347,宁静,ning jing
7348,概率,gai lv
7349,有关方面,you guan fang mian
7350,國,guo
7351,动人,dong ren
7352,径,jing
7353,东亚,dong ya
7354,立体,li ti
7355,把手,ba shou
7356,煞,sha
7357,关系到,guan xi dao
7358,贾,jia
7359,公顷,gong qing
7360,液体,ye ti
7361,女王,nv wang
7362,小牛,xiao niu
7363,哪有,na you
7364,风雨,feng yu
7365,锋,feng
7366,沾,zhan
7367,放射,fang she
7368,不惜,bu xi
7369,毛病,mao bing
7370,火星,huo xing
7371,一审,yi shen
7372,海峡,hai xia
7373,土耳其,tu er qi
7374,鲁迅,lu xun
7375,往前,wang qian
7376,恋人,lian ren
7377,悔,hui
7378,见识,jian shi
7379,义务教育,yi wu jiao yu
7380,黑龙江,hei long jiang
7381,误会,wu hui
7382,将要,jiang yao
7383,姿,zi
7384,氣,qi
7385,第三名,di san ming
7386,伍,wu
7387,鲜血,xian xue
7388,核算,he suan
7389,平面,ping mian
7390,车身,che shen
7391,漏洞,lou dong
7392,无论如何,wu lun ru he
7393,洒,sa
7394,全线,quan xian
7395,孙子,sun zi
7396,第二届,di er jie
7397,壮,zhuang
7398,事迹,shi ji
7399,适时,shi shi
7400,鄙视,bi shi
7401,尽力,jin li
7402,不适,bu shi
7403,老总,lao zong
7404,大奖赛,da jiang sai
7405,中国银行,zhong guo yin hang
7406,多方面,duo fang mian
7407,势必,shi bi
7408,基金会,ji jin hui
7409,领导班子,ling dao ban zi
7410,供求,gong qiu
7411,诱导,you dao
7412,麻醉,ma zui
7413,盟,meng
7414,人大代表,ren da dai biao
7415,乜,mie
7416,民兵,min bing
7417,鹏,peng
7418,物业管理,wu ye guan li
7419,坡,po
7420,持久,chi jiu
7421,機,ji
7422,胎儿,tai er
7423,施行,shi xing
7424,大雨,da yu
7425,发掘,fa jue
7426,破裂,po lie
7427,缠,chan
7428,公安部,gong an bu
7429,舒,shu
7430,高贵,gao gui
7431,枕,zhen
7432,坠,zhui
7433,不完全,bu wan quan
7434,实业,shi ye
7435,纱,sha
7436,八月,ba yue
7437,无形,wu xing
7438,宣称,xuan cheng
7439,菊,ju
7440,摄影师,she ying shi
7441,楼梯,lou ti
7442,终究,zhong jiu
7443,嘴唇,zui chun
7444,过敏,guo min
7445,莫名其妙,mo ming qi miao
7446,分支,fen zhi
7447,柔软,rou ruan
7448,飙,biao
7449,劈,pi
7450,检疫,jian yi
7451,日趋,ri qu
7452,搅,jiao
7453,剧烈,ju lie
7454,征服,zheng fu
7455,金色,jin se
7456,倾斜,qing xie
7457,证券公司,zheng quan gong si
7458,疗程,liao cheng
7459,乔,qiao
7460,大选,da xuan
7461,兩,liang
7462,龟,gui
7463,竟是,jing shi
7464,双边,shuang bian
7465,不理,bu li
7466,跨越,kua yue
7467,瑟,se
7468,帆,fan
7469,仇,chou
7470,煲,bao
7471,分局,fen ju
7472,区分,qu fen
7473,召唤,zhao huan
7474,起飞,qi fei
7475,前辈,qian bei
7476,陌生人,mo sheng ren
7477,第二名,di er ming
7478,周恩来,zhou en lai
7479,珠海,zhu hai
7480,留意,liu yi
7481,活泼,huo po
7482,从没,cong mei
7483,韩寒,han han
7484,韵,yun
7485,游行,you xing
7486,简洁,jian jie
7487,太子,tai zi
7488,周刊,zhou kan
7489,筑,zhu
7490,珍珠,zhen zhu
7491,重重,chong chong
7492,船舶,chuan bo
7493,撤销,che xiao
7494,繁华,fan hua
7495,抬起,tai qi
7496,支配,zhi pei
7497,历时,li shi
7498,伟,wei
7499,生效,sheng xiao
7500,柬埔寨,jian pu zhai
7501,风采,feng cai
7502,消极,xiao ji
7503,信誉,xin yu
7504,首个,shou ge
7505,墨西哥,mo xi ge
7506,编号,bian hao
7507,淫,yin
7508,称之为,cheng zhi wei
7509,使用权,shi yong quan
7510,辛,xin
7511,抗战,kang zhan
7512,倒霉,dao mei
7513,南京市,nan jing shi
7514,召集,zhao ji
7515,心痛,xin tong
7516,荣获,rong huo
7517,特地,te di
7518,扩建,kuo jian
7519,海关,hai guan
7520,徽章,hui zhang
7521,神龙,shen long
7522,祈祷,qi dao
7523,挫折,cuo zhe
7524,构造,gou zao
7525,冇,mao
7526,失落,shi luo
7527,试用,shi yong
7528,匀,yun
7529,孕,yun
7530,攀升,pan sheng
7531,发给,fa gei
7532,好不容易,hao bu rong yi
7533,公约,gong yue
7534,胞,bao
7535,幼,you
7536,命中,ming zhong
7537,阐述,chan shu
7538,点球,dian qiu
7539,县委,xian wei
7540,专政,zhuan zheng
7541,没收,mo shou
7542,水质,shui zhi
7543,秋季,qiu ji
7544,快捷,kuai jie
7545,寝室,qin shi
7546,反抗,fan kang
7547,济,ji
7548,秋天,qiu tian
7549,近年,jin nian
7550,亲情,qin qing
7551,举手,ju shou
7552,红星,hong xing
7553,功率,gong lv
7554,删除,shan chu
7555,波兰,bo lan
7556,有信心,you xin xin
7557,精确,jing que
7558,白领,bai ling
7559,邊,bian
7560,酱油,jiang you
7561,电视机,dian shi ji
7562,抗生素,kang sheng su
7563,不稳定,bu wen ding
7564,投标,tou biao
7565,上诉,shang su
7566,传球,chuan qiu
7567,挫,cuo
7568,超额,chao e
7569,抵制,di zhi
7570,菊花,ju hua
7571,榜样,bang yang
7572,出院,chu yuan
7573,不通,bu tong
7574,顽强,wan qiang
7575,忧,you
7576,违背,wei bei
7577,服务中心,fu wu zhong xin
7578,机器人,ji qi ren
7579,助攻,zhu gong
7580,银子,yin zi
7581,证券投资,zheng quan tou zi
7582,分明,fen ming
7583,丰收,feng shou
7584,纪,ji
7585,范畴,fan chou
7586,先行,xian xing
7587,前所未有,qian suo wei you
7588,恶性,e xing
7589,向下,xiang xia
7590,記,ji
7591,前去,qian qu
7592,管理者,guan li zhe
7593,洪,hong
7594,奥迪,ao di
7595,浙,zhe
7596,看望,kan wang
7597,无不,wu bu
7598,报酬,bao chou
7599,陶瓷,tao ci
7600,到手,dao shou
7601,虽说,sui shuo
7602,翠,cui
7603,祝愿,zhu yuan
7604,戒指,jie zhi
7605,不可思议,bu ke si yi
7606,评级,ping ji
7607,账号,zhang hao
7608,万岁,wan sui
7609,贵族,gui zu
7610,厂房,chang fang
7611,梦幻,meng huan
7612,院士,yuan shi
7613,朕,zhen
7614,植,zhi
7615,任职,ren zhi
7616,马克,ma ke
7617,最大限度,zui da xian du
7618,永不,yong bu
7619,摩擦,mo ca
7620,兹,zi
7621,火车站,huo che zhan
7622,大半,da ban
7623,假装,jia zhuang
7624,奴,nu
7625,会场,hui chang
7626,歌声,ge sheng
7627,有名,you ming
7628,黑白,hei bai
7629,评定,ping ding
7630,合影,he ying
7631,多项,duo xiang
7632,平民,ping min
7633,水电,shui dian
7634,宿,su
7635,解说,jie shuo
7636,觉悟,jue wu
7637,按时,an shi
7638,无情,wu qing
7639,村庄,cun zhuang
7640,少见,shao jian
7641,推销,tui xiao
7642,十二月,shi er yue
7643,公式,gong shi
7644,修炼,xiu lian
7645,紫色,zi se
7646,浮云,fu yun
7647,其间,qi jian
7648,数目,shu mu
7649,医师,yi shi
7650,选出,xuan chu
7651,碳,tan
7652,来回,lai hui
7653,轻微,qing wei
7654,灶,zao
7655,扣除,kou chu
7656,度假,du jia
7657,巷,xiang
7658,关键词,guan jian ci
7659,实质性,shi zhi xing
7660,胳膊,ge bo
7661,有兴趣,you xing qu
7662,拿出来,na chu lai
7663,竞选,jing xuan
7664,兴建,xing jian
7665,莎,sha
7666,亚太,ya tai
7667,栽,zai
7668,登场,deng chang
7669,普京,pu jing
7670,深情,shen qing
7671,军区,jun qu
7672,公务,gong wu
7673,看作,kan zuo
7674,修理,xiu li
7675,汀,ting
7676,三分之一,san fen zhi yi
7677,随身,sui shen
7678,出差,chu chai
7679,前夕,qian xi
7680,打下,da xia
7681,新华,xin hua
7682,嗷,ao
7683,跨国公司,kua guo gong si
7684,心想,xin xiang
7685,上报,shang bao
7686,辈子,bei zi
7687,路人,lu ren
7688,税率,shui lv
7689,老将,lao jiang
7690,高压,gao ya
7691,丰田,feng tian
7692,抽查,chou cha
7693,档次,dang ci
7694,花生,hua sheng
7695,腐,fu
7696,包容,bao rong
7697,外婆,wai po
7698,出击,chu ji
7699,实时,shi shi
7700,滚滚,gun gun
7701,信息技术,xin xi ji shu
7702,服从,fu cong
7703,首选,shou xuan
7704,羽绒服,yu rong fu
7705,副总理,fu zong li
7706,知名度,zhi ming du
7707,意向,yi xiang
7708,下手,xia shou
7709,演变,yan bian
7710,确诊,que zhen
7711,侧面,ce mian
7712,蒋介石,jiang jie shi
7713,多哈,duo ha
7714,华夏,hua xia
7715,建设部,jian she bu
7716,规范化,gui fan hua
7717,咦,yi
7718,接连,jie lian
7719,祭,ji
7720,叼,diao
7721,轨,gui
7722,阶级斗争,jie ji dou zheng
7723,专柜,zhuan gui
7724,堪称,kan cheng
7725,誉为,yu wei
7726,旅游业,lv you ye
7727,增生,zeng sheng
7728,贰,er
7729,玲,ling
7730,想出,xiang chu
7731,拐,guai
7732,恶意,e yi
7733,卖给,mai gei
7734,旱,han
7735,宰,zai
7736,光学,guang xue
7737,重伤,zhong shang
7738,磋,cuo
7739,线条,xian tiao
7740,浓厚,nong hou
7741,染色,ran se
7742,咳,ke
7743,战役,zhan yi
7744,压迫,ya po
7745,中意,zhong yi
7746,氨,an
7747,祛,qu
7748,县级,xian ji
7749,買,mai
7750,妳,ni
7751,侵害,qin hai
7752,落地,luo di
7753,公有制,gong you zhi
7754,而后,er hou
7755,明日,ming ri
7756,甘肃,gan su
7757,柴油,chai you
7758,次日,ci ri
7759,身亡,shen wang
7760,南宁,nan ning
7761,淋,lin
7762,导师,dao shi
7763,掩饰,yan shi
7764,适,shi
7765,适度,shi du
7766,计较,ji jiao
7767,构,gou
7768,心声,xin sheng
7769,水稻,shui dao
7770,懒得,lan de
7771,从来不,cong lai bu
7772,务实,wu shi
7773,北京大学,bei jing da xue
7774,本基金,ben ji jin
7775,桌上,zhuo shang
7776,房地产业,fang di chan ye
7777,车票,che piao
7778,拓宽,tuo kuan
7779,谎言,huang yan
7780,绝大部分,jue da bu fen
7781,突击,tu ji
7782,归来,gui lai
7783,一味,yi wei
7784,年头,nian tou
7785,水源,shui yuan
7786,预售,yu shou
7787,纳税人,na shui ren
7788,意图,yi tu
7789,心跳,xin tiao
7790,源于,yuan yu
7791,坎,kan
7792,救灾,jiu zai
7793,殿,dian
7794,四川省,si chuan sheng
7795,民政,min zheng
7796,功力,gong li
7797,擅长,shan chang
7798,译,yi
7799,首轮,shou lun
7800,垂直,chui zhi
7801,橡胶,xiang jiao
7802,固然,gu ran
7803,聘,pin
7804,所在地,suo zai di
7805,高大,gao da
7806,严密,yan mi
7807,国奥队,guo ao dui
7808,大有,da you
7809,奶粉,nai fen
7810,全队,quan dui
7811,有才,you cai
7812,第二轮,di er lun
7813,瓣,ban
7814,集团公司,ji tuan gong si
7815,女主角,nv zhu jue
7816,锐,rui
7817,着眼,zhuo yan
7818,撕,si
7819,慌,huang
7820,政党,zheng dang
7821,皇家,huang jia
7822,放置,fang zhi
7823,春季,chun ji
7824,前不久,qian bu jiu
7825,授,shou
7826,封锁,feng suo
7827,贫,pin
7828,通车,tong che
7829,寨,zhai
7830,备案,bei an
7831,陛下,bi xia
7832,各种各样,ge zhong ge yang
7833,分公司,fen gong si
7834,诗歌,shi ge
7835,门户,men hu
7836,开关,kai guan
7837,卓越,zhuo yue
7838,两边,liang bian
7839,壶,hu
7840,有道理,you dao li
7841,细心,xi xin
7842,倒数,dao shu
7843,呕吐,ou tu
7844,珠宝,zhu bao
7845,炎症,yan zheng
7846,天涯,tian ya
7847,入口,ru kou
7848,世人,shi ren
7849,大风,da feng
7850,水位,shui wei
7851,书店,shu dian
7852,智商,zhi shang
7853,导航,dao hang
7854,第一步,di yi bu
7855,郊区,jiao qu
7856,验,yan
7857,解读,jie du
7858,致命,zhi ming
7859,潇洒,xiao sa
7860,水资源,shui zi yuan
7861,出路,chu lu
7862,儿女,er nv
7863,政务,zheng wu
7864,随访,sui fang
7865,碱,jian
7866,笑声,xiao sheng
7867,信托,xin tuo
7868,被评为,bei ping wei
7869,身旁,shen pang
7870,舰队,jian dui
7871,脑海,nao hai
7872,先前,xian qian
7873,图形,tu xing
7874,绑,bang
7875,后续,hou xu
7876,立案,li an
7877,嘴角,zui jiao
7878,下方,xia fang
7879,只怕,zhi pa
7880,还原,huan yuan
7881,岂不,qi bu
7882,骑兵,qi bing
7883,华侨,hua qiao
7884,坚实,jian shi
7885,中山,zhong shan
7886,不公平,bu gong ping
7887,电影节,dian ying jie
7888,公认,gong ren
7889,小狗,xiao gou
7890,不解,bu jie
7891,盗版,dao ban
7892,铃声,ling sheng
7893,一早,yi zao
7894,逃跑,tao pao
7895,长袖,chang xiu
7896,裹,guo
7897,宣,xuan
7898,振兴,zhen xing
7899,重庆市,chong qing shi
7900,看重,kan zhong
7901,陵,ling
7902,早晚,zao wan
7903,发热,fa re
7904,轩,xuan
7905,联合会,lian he hui
7906,播种,bo zhong
7907,惯例,guan li
7908,未成年人,wei cheng nian ren
7909,音响,yin xiang
7910,抽烟,chou yan
7911,整齐,zheng qi
7912,营运,ying yun
7913,品味,pin wei
7914,日常生活,ri chang sheng huo
7915,海口,hai kou
7916,身形,shen xing
7917,上行,shang hang
7918,加热,jia re
7919,楼上,lou shang
7920,悬,xuan
7921,闺,gui
7922,限于,xian yu
7923,张先生,zhang xian sheng
7924,负责任,fu ze ren
7925,纲要,gang yao
7926,其一,qi yi
7927,受害者,shou hai zhe
7928,照明,zhao ming
7929,样本,yang ben
7930,即日,ji ri
7931,潘,pan
7932,诺基亚,nuo ji ya
7933,院子,yuan zi
7934,啃,ken
7935,加紧,jia jin
7936,龋,qu
7937,幼稚,you zhi
7938,芝,zhi
7939,逆转,ni zhuan
7940,心爱,xin ai
7941,满满,man man
7942,磅,bang
7943,親,qin
7944,说服,shuo fu
7945,与会,yu hui
7946,核武器,he wu qi
7947,逐年,zhu nian
7948,核实,he shi
7949,督促,du cu
7950,股份制,gu fen zhi
7951,负债,fu zhai
7952,美美,mei mei
7953,幾,ji
7954,赐,ci
7955,酮,tong
7956,人身,ren shen
7957,悟,wu
7958,背影,bei ying
7959,一大批,yi da pi
7960,说明书,shuo ming shu
7961,书法,shu fa
7962,从容,cong rong
7963,视角,shi jiao
7964,搭建,da jian
7965,折扣,zhe kou
7966,大自然,da zi ran
7967,匪,fei
7968,制造商,zhi zao shang
7969,氮,dan
7970,造就,zao jiu
7971,增收,zeng shou
7972,过往,guo wang
7973,定向,ding xiang
7974,资质,zi zhi
7975,广电,guang dian
7976,晋,jin
7977,学生们,xue sheng men
7978,中学生,zhong xue sheng
7979,手脚,shou jiao
7980,代理人,dai li ren
7981,歧视,qi shi
7982,以致,yi zhi
7983,球星,qiu xing
7984,来电,lai dian
7985,默契,mo qi
7986,栽培,zai pei
7987,淡然,dan ran
7988,畸形,ji xing
7989,最少,zui shao
7990,丰厚,feng hou
7991,诊,zhen
7992,阴性,yin xing
7993,十一月,shi yi yue
7994,针织,zhen zhi
7995,论述,lun shu
7996,预料,yu liao
7997,管制,guan zhi
7998,俾,bi
7999,眼看,yan kan
8000,杰出,jie chu
8001,攻势,gong shi
8002,熟练,shu lian
8003,郡,jun
8004,拜年,bai nian
8005,走私,zou si
8006,改编,gai bian
8007,长途,chang tu
8008,睫毛,jie mao
8009,海拔,hai ba
8010,班主任,ban zhu ren
8011,开放式,kai fang shi
8012,劳务,lao wu
8013,揭示,jie shi
8014,空前,kong qian
8015,午饭,wu fan
8016,汪,wang
8017,兵器,bing qi
8018,预报,yu bao
8019,杜绝,du jue
8020,钢材,gang cai
8021,佛山,fo shan
8022,责令,ze ling
8023,开庭,kai ting
8024,急救,ji jiu
8025,目的地,mu di di
8026,二月,er yue
8027,第一节,di yi jie
8028,缘分,yuan fen
8029,引来,yin lai
8030,较长,jiao zhang
8031,零部件,ling bu jian
8032,蒋,jiang
8033,哄,hong
8034,繁殖,fan zhi
8035,伤感,shang gan
8036,叉,cha
8037,断裂,duan lie
8038,猛烈,meng lie
8039,专科,zhuan ke
8040,收听,shou ting
8041,硕,shuo
8042,玩笑,wan xiao
8043,清水,qing shui
8044,名额,ming e
8045,拧,ning
8046,芬,fen
8047,滋,zi
8048,穷人,qiong ren
8049,逝,shi
8050,打印,da yin
8051,巧妙,qiao miao
8052,研究院,yan jiu yuan
8053,战斗机,zhan dou ji
8054,雪地,xue di
8055,多头,duo tou
8056,损坏,sun huai
8057,反恐,fan kong
8058,蝴蝶,hu die
8059,上台,shang tai
8060,直线,zhi xian
8061,酬,chou
8062,表扬,biao yang
8063,选购,xuan gou
8064,口岸,kou an
8065,实物,shi wu
8066,坤,kun
8067,大叫,da jiao
8068,操纵,cao zong
8069,加深,jia shen
8070,葡萄酒,pu tao jiu
8071,面孔,mian kong
8072,星空,xing kong
8073,肝脏,gan zang
8074,牌照,pai zhao
8075,挪用,nuo yong
8076,停车场,ting che chang
8077,报案,bao an
8078,魏,wei
8079,发售,fa shou
8080,修正主义,xiu zheng zhu yi
8081,国营,guo ying
8082,跨国,kua guo
8083,卢,lu
8084,过节,guo jie
8085,痕,hen
8086,麻麻,ma ma
8087,蝶,die
8088,不行了,bu xing le
8089,一帮,yi bang
8090,坏死,huai si
8091,背着,bei zhe
8092,体育馆,ti yu guan
8093,热潮,re chao
8094,葡萄牙,pu tao ya
8095,千瓦,qian wa
8096,窜,cuan
8097,上空,shang kong
8098,氯,lv
8099,奏,zou
8100,追逐,zhui zhu
8101,衰老,shuai lao
8102,位居,wei ju
8103,锡,xi
8104,之情,zhi qing
8105,哭泣,ku qi
8106,可不,ke bu
8107,救治,jiu zhi
8108,暂行,zan xing
8109,口水,kou shui
8110,颐,yi
8111,保护区,bao hu qu
8112,涌现,yong xian
8113,颤抖,chan dou
8114,局限,ju xian
8115,举起,ju qi
8116,睁,zheng
8117,慈,ci
8118,鼎,ding
8119,谈论,tan lun
8120,援,yuan
8121,求助,qiu zhu
8122,便捷,bian jie
8123,打动,da dong
8124,柜台,gui tai
8125,头顶,tou ding
8126,沙龙,sha long
8127,年年,nian nian
8128,柴,chai
8129,扳,ban
8130,交付,jiao fu
8131,常识,chang shi
8132,细则,xi ze
8133,之余,zhi yu
8134,逾,yu
8135,海报,hai bao
8136,满脸,man lian
8137,苯,ben
8138,低迷,di mi
8139,长长,chang chang
8140,源头,yuan tou
8141,双向,shuang xiang
8142,排出,pai chu
8143,落下,la xia
8144,膨胀,peng zhang
8145,封建,feng jian
8146,信访,xin fang
8147,克隆,ke long
8148,海鲜,hai xian
8149,大米,da mi
8150,同年,tong nian
8151,股民,gu min
8152,所有权,suo you quan
8153,出面,chu mian
8154,价钱,jia qian
8155,低声,di sheng
8156,巢,chao
8157,曹操,cao cao
8158,驶,shi
8159,崭新,zhan xin
8160,海水,hai shui
8161,犹,you
8162,体能,ti neng
8163,背叛,bei pan
8164,普通话,pu tong hua
8165,不可避免,bu ke bi mian
8166,孔子,kong zi
8167,指令,zhi ling
8168,住户,zhu hu
8169,短缺,duan que
8170,蔡,cai
8171,高原,gao yuan
8172,上线,shang xian
8173,阵营,zhen ying
8174,切尔西,qie er xi
8175,俗,su
8176,四人帮,si ren bang
8177,呜,wu
8178,保密,bao mi
8179,困惑,kun huo
